NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents
NCT06907927,Using Artificial Intelligence to Improve Radiologists' Performance in Radiology Report Writing: a Randomised Controlled Trial,https://clinicaltrials.gov/study/NCT06907927,,RECRUITING,This is a randomised controlled trial to assess whether artificial intelligence software can improve radiologists' performance in radiology report writing and improve the quality of radiology reports.,NO,Healthy,BEHAVIORAL: Control group|BEHAVIORAL: Experimental group,"Error rates in radiology reports, Statistical analysis of errors in radiology reports submitted by study and control group physicians, 1 month",,,"Wuhan Union Hospital, China",,ALL,"ADULT, OLDER_ADULT",NA,100,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: OTHER,2025-0033,2025-04-01,2025-04-30,2025-04-30,2025-04-02,,2025-04-02,"Union Hospital，Tongji Medical College，Huazhong University of Science and Technology, Wuhan, Hubei, 430000, China",
NCT06907914,Schroth and Scapular Muscle Activation in Hyperkyphosis,https://clinicaltrials.gov/study/NCT06907914,,NOT_YET_RECRUITING,"This randomized controlled trial aims to investigate the effects of Schroth exercises on scapular muscle activation in children with thoracic hyperkyphosis. A total of 56 participants will be randomly assigned to either the Schroth exercise group or the control group receiving postural education. The intervention group will complete an 8-week supervised Schroth program focusing on three-dimensional correction, rotational breathing, and postural awareness. Primary outcome is scapular muscle activation measured by surface EMG. Secondary outcomes include muscle strength, scapular endurance, kyphotic appearance, posture, and pain. The results will guide clinical management and preventive strategies for children with postural thoracic hyperkyphosis.",NO,"Hyperkyphosis, Adolescent|Muscle Activation|Scapula; Deformity, Acquired|Exercise Therapy",OTHER: Schroth,"Muscle Activation (sEMG), Surface electromyography (sEMG) will assess the activation of the upper, middle, lower trapezius, and serratus anterior muscles, following SENIAM protocols. Signals will be normalized to %MVC and analyzed for concentric, isometric, and eccentric phases using RMS methods with a 20 Hz high-pass filter., 8 weeks","Muscle Strength, Scapular stabilizing muscle strength will be measured using a handheld dynamometer (Lafayette Instrument). Higher force values (in Newtons) indicate greater muscle strength and improved functional capacity of the scapular muscles. An increase in the score reflects muscle strength gains, while a decrease indicates weakness or functional decline., 8 weeks|capular Muscle Endurance Test, Scapular muscle endurance will be evaluated using the Scapular Muscle Endurance Test, which measures the duration (in seconds) that scapular muscles can sustain an isometric contraction. A higher score indicates better endurance capacity, while a lower score reflects fatigue or reduced muscle endurance., 8 weeks|Kyphosis-Specific Spinal Appearance Questionnaire, patient-reported outcome measuring perception of spinal deformity. Lower scores indicate improvement in kyphotic appearance and body image perception., 8 weeks|PostureScreen Mobile Application, Provides objective measurements of postural deviations. Improvements are indicated by reductions in deviation angles or distances., 8 weeks|Postural Habits and Awareness Scale, Assesses participants' awareness of posture in daily life. Higher scores reflect better postural habits and increased awareness., 8 weeks|Numeric Rating Scale (NRS), Pain intensity will be measured using the Numeric Rating Scale (NRS) during rest, physical activity, and at night. The scale ranges from 0 (no pain) to 10 (worst possible pain). A decrease in NRS scores indicates pain relief, while an increase signifies worsening pain., 8 weeks|Global Rating of Change (GROC) scale, Participant satisfaction with the intervention will be assessed using the Global Rating of Change (GROC) scale. Positive scores indicate perceived improvement, zero represents no change, and negative scores indicate worsening of symptoms or dissatisfaction with the treatment., 8 weeks",,Istanbul University - Cerrahpasa,,ALL,"CHILD, ADULT",NA,56,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",aza_isu2,2025-05-01,2026-05-01,2026-08-01,2025-04-02,,2025-04-02,,
NCT06907901,Reliability of PHAS in Postural Hyperkyphosis,https://clinicaltrials.gov/study/NCT06907901,,NOT_YET_RECRUITING,"This observational, cross-sectional study aims to evaluate the reliability of the Postural Habits and Awareness Scale (PHAS) in patients with postural hyperkyphosis. The PHAS is designed to assess individuals' postural awareness and habits through four subscales. A total of 128 participants diagnosed with postural hyperkyphosis will complete the PHAS and the Kyphosis-Specific Spinal Appearance Questionnaire (KSSA). Test-retest reliability will be assessed by reapplying the PHAS after two weeks. Internal consistency, test-retest reliability, and concurrent validity will be analyzed. The study aims to provide a valid and reliable tool for evaluating postural awareness in clinical practice and future rehabilitation studies.",NO,"Postural Kyphosis|Spine|Assessment, Self",BEHAVIORAL: PHAS Assessment,"Reliability of the Postural Habits and Awareness Scale (PHAS), nternal consistency will be evaluated using Cronbach's Alpha. Test-retest reliability will be assessed by calculating the Intraclass Correlation Coefficient (ICC) between two PHAS administrations. Higher values indicate better reliability., 2 weeks","Kyphosis-Specific Spinal Appearance Questionnaire (KSSAQ), The KSSAQ is a 10-item, 5-point Likert scale designed to assess patients' perception of their spinal appearance related to thoracic hyperkyphosis. Higher scores indicate worse perceived deformity and greater concern about appearance. The correlation between PHAS and KSSAQ scores will be calculated to determine concurrent validity., Baseline",,Istanbul University - Cerrahpasa,,ALL,"CHILD, ADULT, OLDER_ADULT",,128,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,aza_isu1,2025-05-01,2026-05-01,2026-06-01,2025-04-02,,2025-04-02,,
NCT06907888,Rhythm Express Wearable System vs. Simultaneous Polysomnography for the Diagnosis of Obstructive Sleep Apnea in Adults With Suspected or Observed Atrial Fibrillation,https://clinicaltrials.gov/study/NCT06907888,,RECRUITING,"The goal of this observational study is to confirm the accuracy of the sleep algorithm (software) used in the Rhythm Express Wearable System to detect sleep apnea severity. The study involves participants wearing the RX-1 mini cardiac monitor on their chest and a pulse oximeter during a traditional sleep test, known as polysomnography (PSG), conducted in a sleep center. The performance of the device will be evaluated by comparing the results from the Rhythm Express Wearable System with those from the traditional Polysomnography(PSG).

Participants will:

1. Complete a Screening Visit to confirm they are eligible to participate in the study.
2. Be trained on the use of the Rhythm Express Wearable System.
3. Wear the RX-1 mini cardiac monitor on their chest for 3-5 days/nights.
4. Wear a pulse oximeter for 2 nights before a scheduled sleep study.
5. Complete a sleep study while wearing the Rhythm Express Wearable System.
6. Complete a telephone follow-up visit 5-10 days after the sleep study.",NO,Obstructive Sleep Apnea (OSA)|Atrial Fibrillation (Paroxysmal)|Palpitations,DEVICE: Rhythm Express Wearable System,"Sensitivity and Specificity (AHI>5), Sensitivity and specificity for detecting an apnea-hypopnea index (AHI) \>5, when compared to the adjudicated PSG results., 1 night","Sensitivity and Specificity (AHI>15), Sensitivity and Specificity for detecting an apnea-hypopnea index (AHI) \>15, when compared to the adjudicated PSG results., 1 night|Body Position, Body position of sleeping subject as measured by the percentage of instances where at least one of the estimated directions in the pair (e.g., LeftSupine) matches the PSG adjudication., 1 night",,VivaQuant,,ALL,"ADULT, OLDER_ADULT",,30,INDUSTRY,OBSERVATIONAL,Observational Model: |Time Perspective: p,VIVA-006,2024-11-18,2025-05,2025-05,2025-04-02,,2025-04-02,"Central Arkansas Lung- J&L Research, Conway, Arkansas, 72032, United States|Clayton Sleep Institute, St Louis, Missouri, 63123, United States|Modern Heart and Vascular Institute, Humble, Texas, 77338, United States|Marshfield Clinic Research Institute, Marshfield, Wisconsin, 54449, United States",
NCT06907875,A First-in-human Study of EPI-321 in Facioscapulohumeral Muscular Dystrophy,https://clinicaltrials.gov/study/NCT06907875,FSHD,NOT_YET_RECRUITING,"The goal of this clinical trial is to learn how safe and tolerable EPI-321 is and whether there may be early signs it is working in male or female adult (18 to 75 years) participants with facioscapulohumeral muscular dystrophy (FSHD) Type 1 condition. The main questions it aims to answer are:

How safe is EPI-321 and how well can people handle it over time? How does EPI-321 interact with its target and does it show early signs of working?

Participants will receive a single dose of EPI-321 through a vein while being closely watched in a hospital and visit the clinic regularly for tests and checkups for about 5 years after getting EPI-321.",NO,Facioscapulohumeral Muscular Dystrophy,BIOLOGICAL: EPI-321,"Frequency of EPI-321 Related Adverse Reactions, Collect frequency of adverse events (AEs), serious adverse events (SAEs), and clinically significant changes from baseline in safety laboratory tests, physical exam (PE) findings, or other clinical evaluations., Baseline to up to 5 years.","DUX4 Expression, Change from baseline in the expression of DUX4 and downstream markers (DUX4 Composite Score) within skeletal muscle biopsies at 3 and 12 months., Baseline to 12 months.",,"Epicrispr Biotechnologies, Inc.",,ALL,"ADULT, OLDER_ADULT",PHASE1|PHASE2,9,INDUSTRY,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SEQUENTIAL|Masking: NONE|Primary Purpose: TREATMENT,EPI-321-02,2025-05-01,2031-03-31,2032-04-30,2025-04-02,,2025-04-02,,
NCT06907862,The SWITCH (Substitution of High With Low Ultra-processed Soy Protein Foods In a Guideline-based Diet inTervention for Cardiometabolic Health) Trial,https://clinicaltrials.gov/study/NCT06907862,SWITCH,NOT_YET_RECRUITING,"This is a randomized, controlled, parallel study with 3 experimental arms aimed to assess the effect of a digital dietary intervention (web-based app, online behavior change curriculum) enhanced with 10 servings of vegetables and fruit (5 as dietary advice within the app, 5 within a dehydrated vegetable and fruit blend), with or without high Ultra Processed Food (UPF) soy-containing proteins compared to standard of care (usual care) on systolic blood pressure (SBP; primary outcome), and other key cardiometabolic endpoints over 12-weeks in adults living with hypertension and obesity, 50% with type 2 diabetes. The main questions this study aims to answer are:

1. Are nutrient-dense, high-UPF soy-protein foods similar (non-inferior) to low-UPF soy-protein foods in the context of a guidelines-based diet in their effect on blood pressure and other cardiometabolic risk factors?
2. Does an enhanced digital dietary intervention lead to meaningful reductions in blood pressure and other cardiometabolic risk factors compared to standard of care?

Participants who are eligible and consent to be part of this study will be randomized to one of the following groups: 1) Active treatment (high-UPF soy-containing enhanced digital dietary intervention), 2) Reference treatment (low-UPF soy-containing enhanced digital dietary intervention), or 3) Control (standard of care).

Participant Requirements:

During the 12-week intervention, all participants will be required to attend in-person clinic visits at baseline (week 0), week 8 and 12.

Baseline Visit (Week 0): Participants will be asked to arrive in a fasted state (no food or beverages, except water, for 10-12 hours before the visit).

* Undergo various assessments, including anthropometric measurements, office blood pressure readings, and blood sampling (via a capillary finger prick and blood sample taken by the study nurse).
* Review the 7-day food records completed using the Keenoa mobile app one week prior to clinic visit.
* Bring fecal and urine samples from home.
* Complete and review all questionnaires received via email one week prior.

Telephone Check-in (Week 1):

One week after beginning the study, the study staff will call participants to check in on how participants are following the protocol and answer any questions.

Mid-Study Visit (Week 8): Participants will be asked to arrive in a fasted state (no food or beverages, except water, for 10-12 hours before the visit).

* Have their office blood pressure and anthropometric measurements taken.
* Complete and review all questionnaires received via email one week prior
* Review the 3-day food records completed using the Keenoa mobile app one week prior to clinic visit.

Final Study Visit (Week 12): Participants will be asked to arrive in a fasted state (no food or beverages, except water, for 10-12 hours before the visit).

* Undergo various assessments, including anthropometric measurements, office blood pressure readings, and blood sampling (via a capillary finger prick and blood sample taken by the study nurse).
* Review the 7-day food records completed using the Keenoa mobile app one week prior to clinic visit.
* Bring fecal and urine samples from home.
* Complete and review all questionnaires received via email one week prior.

Throughout the study, participants will be asked to continue their usual lifestyle and physical activity.

Additional Requirements for Treatment Groups:

Participants randomized to the active and reference treatment groups will also be required to:

* Incorporate a study vegetable and fruit blend (provided) into their daily diet for the full 12 weeks
* Consume soy products categorized as either high ultra processed soy foods at least 4 servings per day, including at least 2 servings of ultra processed soy milk and 2 servings of other soy-based products (e.g., soy yogurt, soy burgers, or soy ground round) or non-ultra processed soy foods at least 4 servings per day, including at least 2 servings of minimally processed soy milk, 1 serving of edamame or roasted soy nuts, and 1 serving of tofu or tempeh
* Participate in the digital dietary intervention, which includes: a health app, 7-day Kickstart Package, weekly text message support, and a 7-session online interactive program designed based on behaviour change theory
* Attend a virtual focus group at Week 4 and complete an online feedback questionnaire",NO,Hypertension in Type 2 Diabetes|Diabetes Mellitus Type 2|Dyslipidemia|Hypertension|Metabolic Health|Cardiovascular Risk Factors,OTHER: Reference Treatment|OTHER: Control|OTHER: Active Treatment,"Systolic Blood Pressure, Difference in mean change from baseline., from enrollment to the end of treatment at 12 weeks","Key Secondary Outcome: non-high-density lipoprotein cholesterol [non-HDL-C], Difference in mean change from baseline., from enrollment to the end of treatment at 12 weeks|Body weight, Difference in mean change from baseline., from enrollment to the end of treatment at 12 weeks|Diastolic Blood Pressure, Difference in mean change from baseline., from enrollment to the end of treatment at 12 weeks|Blood Pressure Targets, Difference in proportion achieving therapeutic targets for blood pressure (SBP\<140mmHg and DBP \<90mmHg for those without diabetes; SBP \<130mmHg and DBP \<80mmHg for those with diabetes; SBP \<120mmHg for Hypertension Canada high-risk patients), from enrollment to the end of treatment at 12 weeks|Blood Lipids, Difference in mean change in low-density lipoprotein-cholesterol (LDL-C), triglycerides, and high-density lipoprotein-cholesterol (HDL-C) from baseline., from enrollment to the end of treatment at 12 weeks|Blood Lipid Targets, Difference in proportion achieving therapeutic targets for lipids (non-HDL-C \<2.6mmol/L, LDL-C \<2.0mmol/L), from enrollment to the end of treatment at 12 weeks|Glycemic control, Difference in mean change in HbA1c from baseline., from enrollment to the end of treatment at 12 weeks|Glycemic control, Difference in mean change in fasting glucose from baseline., from enrollment to the end of treatment at 12 weeks|Insulin, Difference in mean change in fasting insulin from baseline., from enrollment to the end of treatment at 12 weeks|Insulin Resistance, Difference in mean change in insulin resistance (HOMA-IR) from baseline., from enrollment to the end of treatment at 12 weeks|Inflammation, Difference in mean change in C-Reactive Protein (CRP) from baseline., from enrollment to the end of treatment at 12 weeks|Body Composition, Difference in mean change in body mass index from baseline., from enrollment to the end of treatment at 12 weeks|Body Composition, Difference in mean change in waist circumference from baseline., from enrollment to the end of treatment at 12 weeks|Body Composition, Difference in mean change in body fat from baseline., from enrollment to the end of treatment at 12 weeks","Exploratory mechanistic endpoint - DNA Methylation, Difference in mean change from baseline in DNA methylation., from enrollment to the end of treatment at 12 weeks|Exploratory mechanistic endpoint - Telomere Length, Difference in mean change from baseline in telomere length., from enrollment to the end of treatment at 12 weeks|Exploratory mechanistic endpoint - Intestinal Permeability, Difference in mean change from baseline in intestinal permeability., from enrollment to the end of treatment at 12 weeks",University of Toronto,,ALL,"ADULT, OLDER_ADULT",NA,300,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,REB #44955,2025-04-07,2027-06-30,2028-06-30,2025-04-02,,2025-04-02,"C. David Naylor Building, Toronto, Ontario, L6A 1N9, Canada",
NCT06907849,124I-Evuzamitide PET/CT Imaging In Patients With Lumbar Spinal Stenosis and Carpal Tunnel Syndrome,https://clinicaltrials.gov/study/NCT06907849,,NOT_YET_RECRUITING,"This clinical trial will use the amyloid-binding radiotracer, 124I-evuzamitide, to potentially detect amyloid, in the heart and elsewhere, in patients who have a history of lumbar spinal stenosis and/or carpal tunnel syndrome.",NO,Lumbar Spinal Stenosis|Carpal Tunnel Syndrome (CTS)|Cardiac Amyloidosis,DRUG: 124I-evuzamitide,"Detection of cardiac amyloidosis using 124I-evuzamitide PET/CT imaging, Cardiac PET/CT images will be classified as either positive or negative for 124I-evuzamitide uptake based on visual interpretation., From enrollment to the end of study is 8 days.","Measure uptake of 124I-evuzamitide radioactivity in the heart and compare to biomarkers, Measure cardiac 124I-evuzamitide uptake and compare to contemporaneous transthoracic echocardiographic parameters, serum NT-proBNP, and high sensitivity troponin T levels, From enrollment to the end of study is 8 days.|Measure uptake of 124I-evuzamitide radioactivity in the heart and compare to amyloid load in connective tissue, Measure cardiac 124I-evuzamitide uptake and compare to the reported amyloid load, based on Congo red staining, in connective tissue (obtained from LSS or CTS surgery), From enrollment to the end of study is 8 days.|Detection of extracardiac amyloid using 124I-evuzamitide PET/CT imaging, Visual examination of extracardiac 124I-evuzamitide uptake in the PET/CT images, From enrollment to the end of study is 8 days.",,University of Tennessee Graduate School of Medicine,"Attralus, Inc.",ALL,"ADULT, OLDER_ADULT",PHASE2,40,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: DIAGNOSTIC,UTGSM-172768-101,2025-04,2027-03,2027-04,2025-04-02,,2025-04-02,"University of Tennessee Graduate School of Medicine, Knoxville, Tennessee, 37920, United States",
NCT06907836,Description of a Retrospective Cohort of Patients With Transthyretin Cardiac Amyloidosis (ATTR-CA) in Internal Medicine,https://clinicaltrials.gov/study/NCT06907836,ATTR-CA,RECRUITING,"In 2024, the prevalence of TTR cardiac amyloidosis is difficult to determine precisely. Indeed, the disease has long been underdiagnosed due to a lack of effective treatment and non-invasive diagnostic methods. The prevalence of ATTRwt is estimated at 155 to 191 cases per million person-years, with an incidence of 36 cases per million person-years. Both incidence and prevalence increase with age.

The most common presentation of TTR cardiac amyloidosis is heart failure with preserved ventricular ejection fraction (LVEF).

The natural history of TTR cardiac amyloidosis is progression to restrictive heart disease with all the complications described above.

The median time between diagnosis and the first cardiac symptoms was 39 months. Currently, the median survival in France is approximately 3.5 years, but survival appears to be improving, with a mortality rate of 73.5% at 30 months between 2002 and 2006, compared to 15% at 60 months between 2017 and 2022.

The number of patients diagnosed with TTR cardiac amyloidosis appears to be increasing. The overwhelming majority of available data concerns patients treated in cardiology. However, the issue of TTR cardiac amyloidosis concerns all specialists caring for patients with heart failure, particularly in internal medicine due to the high number of admissions from emergency departments, with a significant proportion of patients suffering from cardiac decompensation.",NO,Cardiac Amyloidosis,,"Describe the number of cases of transthyretin (TTR) cardiac amyloidosis referred to internal medicine between 2013 and 2023., Up to 10 years",,,"University Hospital, Strasbourg, France",,ALL,"ADULT, OLDER_ADULT",,30,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,9302,2024-04-22,2025-12-22,2025-12-22,2025-04-02,,2025-04-02,"Service de Médecine Interne - CHU de Strasbourg - France, Strasbourg, 67091, France",
NCT06907823,Comparison of Sevoflurane and Propofol on ANI,https://clinicaltrials.gov/study/NCT06907823,,NOT_YET_RECRUITING,The goal of this clinical trial is to compare the effect of sevoflurane and propofol on analgesia nociception index(ANI) in patients undergoing general anesthesia. The main question it aims to answer is whether propofol anesthesia results in lesser ANI change to a nociceptive stimulation compared to sevoflurane.,NO,Propofol|Sevoflurane|Analgesia Nociception Index,DRUG: propofol|DRUG: Sevoflurane,"analgesia nociception index change, analgesia nociception index value 1-minute before tetanic stimulation and 1-minute after tetanic stimulation, During anesthesia period","Hemodynamic change, Blood pressure change 1 minute before tetanic stimuation and 1 minute after tetanic stimulation, During anesthesia period|Hemodynamic change, Heart rate change before 1-minute before nociceptive stimuli and 1-minute after nociceptive stimuli, During anesthesia period",,Pusan National University Yangsan Hospital,,ALL,"ADULT, OLDER_ADULT",NA,30,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: OTHER,11-2025-003,2025-03-31,2025-12-31,2025-12-31,2025-04-02,,2025-04-02,,
NCT06907810,Study of Lipid Mediators in Chronic Postoperative Pain - LICP,https://clinicaltrials.gov/study/NCT06907810,LICP,RECRUITING,"This interventional prospective study aims firstly to investigate variations in lipid levels in blood samples and their potential relationship with the duration and/or intensity of post-operative pain. Secondly, it aims to investigate the activation of peripheral blood mononuclear cells and neutrophils in patient blood samples. The study will enrol women aged 18 years or older who have been newly diagnosed with primary invasive or non-invasive breast cancer requiring surgical removal of the tumour, with or without axillary surgery.

The main objectives of the study are To assess whether there is an association between circulating levels of lipid mediators and chronicity (\> 3 months) of postoperative pain after breast cancer surgery.

To assess whether circulating levels of lipid mediators can predict chronicity of postoperative pain in breast cancer surgery.

To assess the existence of an association between resected tissue levels of lipid mediators and chronicity of postoperative pain in breast cancer surgery.

To assess whether tissue levels of lipid mediators can predict chronicity of postoperative pain in breast cancer surgery.",NO,Breast Cancer Female|Postoperative Pain,OTHER: Blood sample + questionnaire,"Pain intensity, Pain intensity will be evaluated using a standardized questionnaire completed by participants at each medical consultation., Throughout the study, an average of 2 years|Pain duration, Pain duration will be evaluated using a standardized questionnaire completed by participants at each medical consultation., Throughout the study, an average of 2 years|Lipid Mediator Levels in Blood, Lipid mediator levels will be quantified in blood samples by LC-MS methods, Throughout the study, an average of 2 years",,,Université Catholique de Louvain,Cliniques universitaires Saint-Luc,FEMALE,"ADULT, OLDER_ADULT",NA,300,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: SCREENING,LICP,2025-03-12,2027-03-31,2027-03-31,2025-04-02,,2025-04-02,"Cliniques universitaires Saint-Luc (UCLouvain), Brussels, 1200, Belgium",
